프로젝트,Task,책임자,협업,일정,설명,작성날짜
test,test,test,test,2021-11-14,test,
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 19:47:30.653015
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 19:47:30.668518
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 19:47:30.680022
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 19:47:30.687996
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 19:47:30.696995
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 19:47:49.458418
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 19:47:49.468944
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 19:47:49.478932
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 19:47:49.489912
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 19:47:49.501903
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:07:03.255002
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:07:03.275003
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:07:03.289024
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:07:03.302016
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:07:03.316002
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:07:48.234522
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:07:48.250469
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:07:48.261432
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:07:48.273392
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:07:48.285353
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:07:53.040338
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:07:53.055287
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:07:53.069241
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:07:53.083194
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:07:53.098655
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:07:59.872500
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:07:59.883462
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:07:59.904392
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:07:59.918345
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:07:59.930305
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:08:44.386484
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:08:44.400437
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:08:44.414391
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:08:44.426350
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:08:44.438310
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:11:09.071874
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:11:09.087333
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:11:09.100290
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:11:09.112250
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:11:09.125206
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:12:04.029219
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:12:04.043173
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:12:04.055133
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:12:04.066096
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:12:04.077059
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:12:08.550928
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:12:08.564883
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:12:08.577838
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:12:08.588802
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:12:08.600762
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:12:23.156218
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:12:23.171167
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:12:23.186118
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:12:23.200070
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:12:23.215020
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:13:22.751067
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:13:22.764024
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:13:22.778976
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:13:22.792927
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:13:22.808874
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:14:18.664972
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:14:18.673942
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:14:18.684906
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:14:18.698860
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:14:18.711816
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:14:37.208540
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:14:37.221530
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:14:37.234519
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:14:37.247549
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:14:37.260540
프로젝트1,task1,책임자1,abc,2021-11-14,,2021-11-21 20:14:42.609456
프로젝트2,task2,책임자2,abc,2021-11-14,,2021-11-21 20:14:42.618456
프로젝트3,task3,책임자3,abc,2021-11-14,,2021-11-21 20:14:42.627451
프로젝트4,task4,책임자4,abc,2021-11-14,,2021-11-21 20:14:42.636457
프로젝트5,task5,책임자5,abc,2021-11-14,,2021-11-21 20:14:42.651440
project,task,a,b,2021-11-30,,2021-11-25 19:22:50.830952
p,t,r,c,2021-11-30,,2021-11-25 19:23:51.813541
project,task,r,c,2021-11-19,,2021-11-28 19:02:20.938708
contain,a,a,,2021-11-28,,2021-11-28 19:46:39.298978
